ID	index	Hchain	Lchain	antigen_chain	antigen_type	date	resolution	method	r_free	r_factor	scfv	affinity	delta_g	temperature	pmid	type	L_cluster	H_cluster	Ag_cluster	all_clusters
3skj_IM_F	734	I	M	F	protein	06/22/11	2.5	X-RAY DIFFRACTION	0.271	0.216	False	8.1E-10	-12.4	missing	21867711	Fab	260	79	607	79:260:607
3so3_CB_A	738	C	B	A	protein	06/29/11	2.1	X-RAY DIFFRACTION	0.194	0.161	False	None	None	None	None	Fab	159	374	252	374:159:252
3sob_HL_B	739	H	L	B	protein	06/30/11	1.9	X-RAY DIFFRACTION	0.212	0.174	False	None	None	None	None	Fab	130	257	169	257:130:169
3sqo_HL_A	740	H	L	A	protein	07/05/11	2.7	X-RAY DIFFRACTION	0.283	0.223	False	None	None	None	None	Fab	354	846	34	846:354:34
3stb_A!_D	741	A	missing	D	protein	07/09/11	2.5	X-RAY DIFFRACTION	0.234	0.199	False	None	None	None	None	Nanobody	missing	1051	525	1051:missing:525
3stb_B!_C	742	B	missing	C	protein	07/09/11	2.5	X-RAY DIFFRACTION	0.234	0.199	False	None	None	None	None	Nanobody	missing	1051	515	1051:missing:515
3thm_HL_F	745	H	L	F	protein	05/09/12	2.1	X-RAY DIFFRACTION	0.221	0.183	False	None	None	None	None	Fab	261	80	619	80:261:619
3uze_AA_C	766	A	A	C	protein	12/07/11	2.04	X-RAY DIFFRACTION	0.234	0.218	True	None	None	None	None	scFv	23	67	574	67:23:574
3uze_BB_D	767	B	B	D	protein	12/07/11	2.04	X-RAY DIFFRACTION	0.234	0.218	True	None	None	None	None	scFv	23	67	622	67:23:622
3v0a_C!_A	768	C	missing	A	protein	12/07/11	2.703	X-RAY DIFFRACTION	0.224	0.176	False	None	None	None	None	Nanobody	missing	1233	1	1233:missing:1
3vg9_CB_A	775	C	B	A	protein	08/04/11	2.7	X-RAY DIFFRACTION	0.246	0.206	False	None	None	None	None	Fab	452	186	175	186:452:175
3w9e_AB_C	781	A	B	C	protein	04/03/13	2.3	X-RAY DIFFRACTION	0.255	0.203	False	None	None	missing	missing	Fab	217	680	281	680:217:281
3wkm_HL_A	797	H	L	A	protein	10/28/13	2.2	X-RAY DIFFRACTION	0.272	0.224	False	None	None	None	None	Fab	153	615	350	615:153:350
3wkm_IM_B	798	I	M	B	protein	10/28/13	2.2	X-RAY DIFFRACTION	0.272	0.224	False	None	None	None	None	Fab	153	960	350	960:153:350
3x3f_HL_A	802	H	L	A	protein	01/20/15	2.1	X-RAY DIFFRACTION	0.224	0.186	False	None	None	None	None	Fab	159	258	524	258:159:524
3ze1_EF_C	803	E	F	C	protein	12/03/12	3.0	X-RAY DIFFRACTION	0.2330	0.1749	False	None	None	missing	missing	Fab	241	608	57	608:241:57
3zkx_C!_A	807	C	missing	A	protein	01/25/13	2.37	X-RAY DIFFRACTION	0.2085	0.1849	False	None	None	None	None	Nanobody	missing	1348	97	1348:missing:97
4ag4_HL_A	811	H	L	A	protein	01/24/12	2.8	X-RAY DIFFRACTION	0.2855	0.2156	False	None	None	None	None	Fab	274	900	121	900:274:121
4bz1_HL_A	816	H	L	A	protein	07/23/13	2.15	X-RAY DIFFRACTION	0.2546	0.2234	False	None	None	None	None	Fab	93	808	550	808:93:550
4bz2_HL_A	817	H	L	A	protein	07/23/13	2.03	X-RAY DIFFRACTION	0.2247	0.2052	False	None	None	None	None	Fab	453	770	550	770:453:550
4cmh_BC_A	830	B	C	A	protein	01/15/14	1.53	X-RAY DIFFRACTION	0.2082	0.1878	False	None	None	None	None	Fab	356	616	239	616:356:239
4d3c_HL_A	833	H	L	A	protein	10/21/14	2.62	X-RAY DIFFRACTION	0.29758	0.26760	False	None	None	None	None	Fab	591	880	437	880:591:437
4dgi_HL_A	837	H	L	A	protein	01/26/12	2.4	X-RAY DIFFRACTION	0.289	0.258	False	None	None	None	None	Fab	358	509	560	509:358:560
4dke_HL_A	840	H	L	A	protein	02/03/12	3.0	X-RAY DIFFRACTION	0.265	0.231	False	None	None	None	None	Fab	161	376	393	376:161:393
4dke_IM_B	841	I	M	B	protein	02/03/12	3.0	X-RAY DIFFRACTION	0.265	0.231	False	None	None	None	None	Fab	161	376	438	376:161:438
4dkf_HL_A	842	H	L	A	protein	02/03/12	2.61	X-RAY DIFFRACTION	0.256	0.225	False	None	None	None	None	Fab	147	722	393	722:147:393
4dkf_IM_B	843	I	M	B	protein	02/03/12	2.61	X-RAY DIFFRACTION	0.256	0.225	False	None	None	None	None	Fab	147	722	438	722:147:438
4dn4_HL_M	844	H	L	M	protein	02/08/12	2.8	X-RAY DIFFRACTION	0.266	0.196	False	None	None	None	None	Fab	359	723	627	723:359:627
4dtg_HL_K	845	H	L	K	protein	02/21/12	1.8	X-RAY DIFFRACTION	0.236	0.196	False	None	None	None	None	Fab	57	314	644	314:57:644
4dw2_HL_U	846	H	L	U	protein	02/24/12	2.97	X-RAY DIFFRACTION	0.300	0.240	False	None	None	None	None	Fab	263	881	294	881:263:294
4edw_HL_V	847	H	L	V	protein	03/27/12	2.48	X-RAY DIFFRACTION	0.249	0.200	False	None	None	None	None	Fab	264	682	530	682:264:530
4eig_B!_A	850	B	missing	A	protein	04/05/12	2.5	X-RAY DIFFRACTION	0.220	0.172	False	None	None	None	None	Nanobody	missing	1274	400	1274:missing:400
4f3f_BA_C	863	B	A	C	protein	05/09/12	2.65	X-RAY DIFFRACTION	0.222	0.177	False	None	None	None	None	Fab	517	450	646	450:517:646
4fhb_D!_A	872	D	missing	A	protein	06/06/12	2.8	X-RAY DIFFRACTION	0.296	0.217	False	None	None	None	None	Nanobody	missing	1078	400	1078:missing:400
4g3y_HL_C	887	H	L	C	protein	07/15/12	2.6	X-RAY DIFFRACTION	0.235	0.189	False	None	None	None	None	Fab	265	378	408	378:265:408
4g6m_HL_A	888	H	L	A	protein	07/19/12	1.81	X-RAY DIFFRACTION	0.226	0.202	False	None	None	None	None	Fab	361	379	413	379:361:413
4gft_B!_A	893	B	missing	A	protein	08/03/12	1.6	X-RAY DIFFRACTION	0.205	0.181	False	None	None	None	None	Nanobody	missing	1079	638	1079:missing:638
4gms_IM_C	895	I	M	C	protein	08/16/12	2.95	X-RAY DIFFRACTION	0.233	0.207	False	None	None	None	None	Fab	646	964	156	964:646:156
4hep_G!_A	915	G	missing	A	protein	03/20/13	1.75	X-RAY DIFFRACTION	0.204	0.198	False	None	None	None	None	Nanobody	missing	992	390	992:missing:390
4hjj_H!_A	925	H	missing	A	protein	10/12/12	2.1	X-RAY DIFFRACTION	0.220	0.184	False	None	None	None	None	Nanobody	missing	0	402	0:missing:402
4hkx_AB_E	926	A	B	E	protein	10/15/12	2.5	X-RAY DIFFRACTION	0.219	0.187	False	None	None	None	None	Fab	628	125	144	125:628:144
4ht1_HL_T	927	H	L	T	protein	10/31/12	2.498	X-RAY DIFFRACTION	0.211	0.183	False	None	None	None	None	Fab	133	882	452	882:133:452
4hwb_HL_A	928	H	L	A	protein	11/07/12	2.61	X-RAY DIFFRACTION	0.224	0.197	False	None	None	None	None	Fab	157	326	516	326:157:516
4i13_B!_A	931	B	missing	A	protein	11/19/12	1.6	X-RAY DIFFRACTION	0.180	0.154	False	None	None	None	None	Nanobody	missing	1011	400	1011:missing:400
4i77_HL_Z	936	H	L	Z	protein	11/30/12	1.9	X-RAY DIFFRACTION	0.219	0.179	False	None	None	None	None	Fab	95	451	549	451:95:549
4ij3_CB_A	938	C	B	A	protein	12/21/12	2.7	X-RAY DIFFRACTION	0.237	0.202	False	None	None	None	None	Fab	266	381	261	381:266:261
4irz_HL_A	943	H	L	A	protein	01/15/13	2.84	X-RAY DIFFRACTION	0.287	0.237	False	None	None	None	None	Fab	602	572	27	572:602:27
4j6r_HL_G	946	H	L	G	protein	02/11/13	1.64	X-RAY DIFFRACTION	0.198	0.164	False	None	None	None	None	Fab	567	315	119	315:567:119
4jb9_HL_G	949	H	L	G	protein	02/19/13	2.6	X-RAY DIFFRACTION	0.287	0.247	False	None	None	None	None	Fab	592	152	112	152:592:112
4jlr_AB_C	951	A	B	C	protein	03/12/13	2.71	X-RAY DIFFRACTION	0.249	0.191	False	None	None	None	None	Fab	568	683	554	683:568:554
4jlr_HL_S	952	H	L	S	protein	03/12/13	2.71	X-RAY DIFFRACTION	0.249	0.191	False	None	None	None	None	Fab	568	683	589	683:568:589
4jpw_HL_G	953	H	L	G	protein	03/19/13	2.904	X-RAY DIFFRACTION	0.265	0.206	False	None	None	None	None	Fab	603	220	112	220:603:112
4jr9_HL_A	954	H	L	A	protein	03/21/13	2.6	X-RAY DIFFRACTION	0.261	0.229	False	None	None	None	None	Fab	519	771	78	771:519:78
4k2u_HL_A	958	H	L	A	protein	04/09/13	2.45	X-RAY DIFFRACTION	0.253	0.204	False	None	None	None	None	Fab	604	724	276	724:604:276
4k2u_IM_B	959	I	M	B	protein	04/09/13	2.45	X-RAY DIFFRACTION	0.253	0.204	False	None	None	None	None	Fab	220	724	226	724:220:226
4k3j_HL_B	960	H	L	B	protein	04/10/13	2.8	X-RAY DIFFRACTION	0.253	0.211	False	None	None	missing	missing	Fab	134	316	45	316:134:45
4k9e_HL_C	962	H	L	C	protein	04/19/13	2.7	X-RAY DIFFRACTION	0.282	0.247	False	None	None	None	None	Fab	40	70	333	70:40:333
4ki5_EF_M	968	E	F	M	protein	05/01/13	2.47	X-RAY DIFFRACTION	0.238	0.188	False	None	None	None	None	Fab	593	188	404	188:593:404
4krp_B!_A	977	B	missing	A	protein	05/16/13	2.823	X-RAY DIFFRACTION	0.263	0.215	False	None	None	missing	missing	Nanobody	missing	1294	39	1294:missing:39
4krp_DC_A	978	D	C	A	protein	05/16/13	2.823	X-RAY DIFFRACTION	0.263	0.215	False	None	None	missing	missing	Fab	520	772	39	772:520:39
4l5f_HL_E	987	H	L	E	protein	06/11/13	2.45	X-RAY DIFFRACTION	0.239	0.190	False	None	None	None	None	Fab	365	511	561	511:365:561
4leo_AB_C	988	A	B	C	protein	06/26/13	2.64	X-RAY DIFFRACTION	0.258	0.228	False	None	None	None	None	Fab	42	725	26	725:42:26
4lgr_B!_A	991	B	missing	A	protein	06/11/14	1.65	X-RAY DIFFRACTION	0.204	0.180	False	None	None	None	None	Nanobody	missing	1153	215	1153:missing:215
4lgs_B!_A	992	B	missing	A	protein	06/11/14	2.7	X-RAY DIFFRACTION	0.248	0.200	False	None	None	None	None	Nanobody	missing	1000	215	1000:missing:215
4lhj_B!_A	993	B	missing	A	protein	06/11/14	1.8	X-RAY DIFFRACTION	0.250	0.196	False	None	None	None	None	Nanobody	missing	1209	215	1209:missing:215
4liq_HL_E	996	H	L	E	protein	07/03/13	2.6	X-RAY DIFFRACTION	0.237	0.186	False	None	None	None	None	Fab	366	809	54	809:366:54
4lmq_EI_F	997	E	I	F	protein	07/10/13	2.773	X-RAY DIFFRACTION	0.301	0.253	False	None	None	None	None	Fab	267	958	647	958:267:647
4lmq_HL_D	998	H	L	D	protein	07/10/13	2.773	X-RAY DIFFRACTION	0.301	0.253	False	None	None	None	None	Fab	267	382	653	382:267:653
4lqf_HL_A	999	H	L	A	protein	07/17/13	2.3	X-RAY DIFFRACTION	0.230	0.197	False	None	None	None	None	Fab	59	810	613	810:59:613
4lsp_HL_G	1000	H	L	G	protein	07/23/13	2.15	X-RAY DIFFRACTION	0.214	0.180	False	None	None	missing	missing	Fab	606	619	112	619:606:112
4lsu_HL_G	1001	H	L	G	protein	07/23/13	2.3	X-RAY DIFFRACTION	0.234	0.179	False	None	None	None	None	Fab	623	317	112	317:623:112
4lvh_BC_A	1004	B	C	A	protein	07/26/13	2.8	X-RAY DIFFRACTION	0.274	0.232	False	None	None	None	None	Fab	569	512	230	512:569:230
4lvo_CB_A	1008	C	B	A	protein	07/26/13	2.26	X-RAY DIFFRACTION	0.236	0.191	False	None	None	None	None	Fab	455	726	132	726:455:132
4m3k_B!_A	1009	B	missing	A	protein	08/06/13	1.48	X-RAY DIFFRACTION	0.195	0.161	False	None	None	None	None	Nanobody	missing	1296	222	1296:missing:222
4m5z_HL_A	1010	H	L	A	protein	08/08/13	2.25	X-RAY DIFFRACTION	0.238	0.191	False	None	None	missing	missing	Fab	456	383	148	383:456:148
4m8q_AB_S	1012	A	B	S	protein	08/13/13	2.89	X-RAY DIFFRACTION	0.302	0.261	False	None	None	None	None	Fab	637	1082	407	1082:637:407
4m8q_HL_C	1013	H	L	C	protein	08/13/13	2.89	X-RAY DIFFRACTION	0.302	0.261	False	None	None	None	None	Fab	637	1082	403	1082:637:403
4nc2_B!_A	1039	B	missing	A	protein	10/23/13	2.5	X-RAY DIFFRACTION	0.229	0.192	False	None	None	None	None	Nanobody	missing	1154	480	1154:missing:480
4nik_BB_A	1040	B	B	A	protein	11/06/13	2.5	X-RAY DIFFRACTION	0.208	0.164	True	None	None	None	None	scFv	28	81	286	81:28:286
4nzr_HL_M	1045	H	L	M	protein	12/12/13	1.65	X-RAY DIFFRACTION	0.186	0.154	False	None	None	None	None	Fab	268	82	85	82:268:85
4o9h_HL_A	1053	H	L	A	protein	01/02/14	2.42	X-RAY DIFFRACTION	0.244	0.216	False	None	None	None	None	Fab	521	950	412	950:521:412
4ogy_HL_A	1055	H	L	A	protein	01/16/14	2.1	X-RAY DIFFRACTION	0.221	0.183	False	None	None	None	None	Fab	147	452	257	452:147:257
4ogy_MN_B	1056	M	N	B	protein	01/16/14	2.1	X-RAY DIFFRACTION	0.221	0.183	False	None	None	None	None	Fab	147	951	257	951:147:257
4om0_HL_G	1061	H	L	G	protein	01/25/14	2.289	X-RAY DIFFRACTION	0.247	0.191	False	None	None	None	None	Fab	595	83	112	83:595:112
4orz_C!_B	1063	C	missing	B	protein	02/12/14	2.0	X-RAY DIFFRACTION	0.236	0.202	False	None	None	None	None	Nanobody	missing	1324	494	1324:missing:494
4ot1_HL_A	1064	H	L	A	protein	02/13/14	2.11	X-RAY DIFFRACTION	0.231	0.171	False	None	None	None	None	Fab	269	27	511	27:269:511
4pgj_A!_B	1070	A	missing	B	protein	05/02/14	2.6	X-RAY DIFFRACTION	0.287	0.225	False	None	None	None	None	Nanobody	missing	1234	458	1234:missing:458
4pgj_C!_D	1071	C	missing	D	protein	05/02/14	2.6	X-RAY DIFFRACTION	0.287	0.225	False	None	None	None	None	Nanobody	missing	1354	458	1354:missing:458
4pou_B!_A	1081	B	missing	A	protein	02/26/14	1.75	X-RAY DIFFRACTION	0.230	0.182	False	None	None	None	None	Nanobody	missing	1210	469	1210:missing:469
4qhu_BA_D	1098	B	A	D	protein	05/29/14	2.2	X-RAY DIFFRACTION	0.216	0.171	False	None	None	None	None	Fab	594	847	555	847:594:555
4qhu_HL_C	1099	H	L	C	protein	05/29/14	2.2	X-RAY DIFFRACTION	0.216	0.171	False	None	None	None	None	Fab	594	847	484	847:594:484
4qnp_HL_B	1100	H	L	B	protein	02/11/15	2.8	X-RAY DIFFRACTION	0.224	0.181	False	None	None	None	None	Fab	433	182	92	182:433:92
4qo1_A!_B	1101	A	missing	B	protein	06/19/14	1.924	X-RAY DIFFRACTION	0.205	0.165	False	None	None	None	None	Nanobody	missing	1033	326	1033:missing:326
4qti_HL_U	1102	H	L	U	protein	07/08/14	3.0	X-RAY DIFFRACTION	0.296	0.250	False	None	None	None	None	Fab	349	513	223	513:349:223
4rwy_HL_A	1129	H	L	A	protein	12/08/14	2.128	X-RAY DIFFRACTION	0.254	0.219	False	None	None	None	None	Fab	369	106	118	106:369:118
4s1q_HL_G	1134	H	L	G	protein	01/14/15	2.4	X-RAY DIFFRACTION	0.258	0.219	False	None	None	None	None	Fab	595	84	112	84:595:112
4tsb_HL_A	1137	H	L	A	protein	06/18/14	1.95	X-RAY DIFFRACTION	0.227	0.194	False	None	None	None	None	Fab	270	236	458	236:270:458
4uv7_HL_A	1160	H	L	A	protein	08/05/14	2.1	X-RAY DIFFRACTION	0.24759	0.20199	False	None	None	None	None	Fab	160	515	24	515:160:24
4w6w_B!_A	1171	B	missing	A	protein	08/21/14	2.51	X-RAY DIFFRACTION	0.254	0.197	False	None	None	None	None	Nanobody	missing	1107	423	1107:missing:423
4w6x_B!_A	1172	B	missing	A	protein	12/17/14	1.88	X-RAY DIFFRACTION	0.226	0.186	False	None	None	None	None	Nanobody	missing	1083	423	1083:missing:423
4w6y_B!_A	1173	B	missing	A	protein	08/21/14	1.57	X-RAY DIFFRACTION	0.226	0.195	False	None	None	None	None	Nanobody	missing	1014	423	1014:missing:423
4wem_B!_A	1174	B	missing	A	protein	09/10/14	1.55	X-RAY DIFFRACTION	0.193	0.169	False	None	None	None	None	Nanobody	missing	1179	234	1179:missing:234
4wen_B!_A	1175	B	missing	A	protein	09/10/14	1.89	X-RAY DIFFRACTION	0.226	0.188	False	None	None	None	None	Nanobody	missing	1180	234	1180:missing:234
4weu_D!_B	1176	D	missing	B	protein	09/11/14	2.61	X-RAY DIFFRACTION	0.243	0.204	False	None	None	None	None	Nanobody	missing	1181	289	1181:missing:289
4weu_E!_A	1177	E	missing	A	protein	09/11/14	2.61	X-RAY DIFFRACTION	0.243	0.204	False	None	None	None	None	Nanobody	missing	1181	244	1181:missing:244
4xmp_HL_G	1189	H	L	G	protein	01/15/15	1.7831	X-RAY DIFFRACTION	0.201	0.165	False	None	None	None	None	Fab	522	39	127	39:522:127
4xnm_BA_D	1190	B	A	D	protein	01/15/15	2.51	X-RAY DIFFRACTION	0.241	0.214	False	None	None	None	None	Fab	607	575	146	575:607:146
4xnm_HL_C	1191	H	L	C	protein	01/15/15	2.51	X-RAY DIFFRACTION	0.241	0.214	False	None	None	None	None	Fab	607	575	329	575:607:329
4xny_HL_G	1192	H	L	G	protein	01/16/15	2.3	X-RAY DIFFRACTION	0.217	0.182	False	None	None	None	None	Fab	523	16	127	16:523:127
4xt1_C!_A	1196	C	missing	A	protein	01/22/15	2.886	X-RAY DIFFRACTION	0.249	0.199	False	None	None	None	None	Nanobody	missing	1297	183	1297:missing:183
4xvs_HL_G	1197	H	L	G	protein	01/27/15	1.9	X-RAY DIFFRACTION	0.214	0.194	False	None	None	None	None	Fab	570	85	117	85:570:117
4xvu_IJ_H	1200	I	J	H	protein	01/28/15	2.35	X-RAY DIFFRACTION	0.234	0.197	False	None	None	None	None	Fab	40	925	160	925:40:160
4xzu_EF_G	1206	E	F	G	protein	02/05/15	2.61	X-RAY DIFFRACTION	0.267	0.199	False	None	None	None	None	Fab	634	510	404	510:634:404
4ydk_HL_G	1227	H	L	G	protein	02/22/15	2.051	X-RAY DIFFRACTION	0.206	0.166	False	None	None	None	None	Fab	272	49	112	49:272:112
4ye4_HL_G	1230	H	L	G	protein	02/23/15	2.72	X-RAY DIFFRACTION	0.242	0.187	False	None	None	None	None	Fab	135	108	137	108:135:137
4yjz_LL_E	1237	L	L	E	protein	03/03/15	2.72	X-RAY DIFFRACTION	0.266	0.230	True	None	None	None	None	scFv	7	17	144	17:7:144
4yue_HL_C	1244	H	L	C	protein	07/01/15	2.194	X-RAY DIFFRACTION	0.231	0.203	False	None	None	None	None	Fab	273	224	538	224:273:538
4ywg_HL_G	1245	H	L	G	protein	03/20/15	2.998	X-RAY DIFFRACTION	0.296	0.219	False	None	None	None	None	Fab	202	885	540	885:202:540
4ywg_IM_Q	1246	I	M	Q	protein	03/20/15	2.998	X-RAY DIFFRACTION	0.296	0.219	False	None	None	None	None	Fab	202	126	575	126:202:575
4z9k_B!_A	1259	B	missing	A	protein	04/10/15	1.5	X-RAY DIFFRACTION	0.195	0.178	False	None	None	None	None	Nanobody	missing	1298	215	1298:missing:215
4zs7_HL_A	1266	H	L	A	protein	05/13/15	2.93	X-RAY DIFFRACTION	0.293	0.261	False	None	None	None	None	Fab	571	260	412	260:571:412
5anm_HL_F	1287	H	L	F	protein	09/07/15	2.85	X-RAY DIFFRACTION	0.25993	0.19553	False	None	None	None	None	Fab	636	384	155	384:636:155
5bo1_HL_B	1298	H	L	B	protein	05/26/15	2.56	X-RAY DIFFRACTION	0.259	0.220	False	None	None	None	None	Fab	130	369	414	369:130:414
5bo1_IM_A	1299	I	M	A	protein	05/26/15	2.56	X-RAY DIFFRACTION	0.259	0.220	False	None	None	None	None	Fab	130	775	414	775:130:414
5bv7_CB_A	1308	C	B	A	protein	06/04/15	2.45	X-RAY DIFFRACTION	0.242	0.189	False	None	None	None	None	Fab	458	385	96	385:458:96
5bv7_HL_A	1309	H	L	A	protein	06/04/15	2.45	X-RAY DIFFRACTION	0.242	0.189	False	None	None	None	None	Fab	389	262	96	262:389:96
5bvp_HL_I	1310	H	L	I	protein	06/05/15	2.2	X-RAY DIFFRACTION	0.231	0.188	False	None	None	None	None	Fab	371	455	413	455:371:413
5c1m_B!_A	1313	B	missing	A	protein	06/15/15	2.1	X-RAY DIFFRACTION	0.222	0.185	False	None	None	None	None	Nanobody	missing	1259	178	1259:missing:178
5c2u_B!_A	1314	B	missing	A	protein	06/16/15	1.55	X-RAY DIFFRACTION	0.205	0.176	False	None	None	None	None	Nanobody	missing	1109	501	1109:missing:501
5d8j_HL_A	1340	H	L	A	protein	08/17/15	3.0	X-RAY DIFFRACTION	0.269	0.205	False	None	None	None	None	Fab	275	622	448	622:275:448
5dfw_HH_A	1354	H	H	A	protein	08/27/15	2.33	X-RAY DIFFRACTION	0.264	0.190	True	None	None	None	None	scFv	39	263	587	263:39:587
5e0q_A!_B	1366	A	missing	B	protein	09/29/15	1.9	X-RAY DIFFRACTION	0.196	0.167	False	None	None	None	None	Nanobody	missing	1054	411	1054:missing:411
5e1h_B!_A	1367	B	missing	A	protein	09/29/15	2.032	X-RAY DIFFRACTION	0.257	0.204	False	None	None	None	None	Nanobody	missing	1110	215	1110:missing:215
5e8e_BA_H	1375	B	A	H	protein	10/14/15	1.9	X-RAY DIFFRACTION	0.244	0.201	False	None	None	None	None	Fab	203	87	224	87:203:224
5eii_AB_I	1378	A	B	I	protein	10/29/15	2.44	X-RAY DIFFRACTION	0.233	0.185	False	None	None	None	None	Fab	40	154	503	154:40:503
5eii_HL_G	1379	H	L	G	protein	10/29/15	2.44	X-RAY DIFFRACTION	0.233	0.185	False	None	None	None	None	Fab	40	154	410	154:40:410
5en2_AB_C	1380	A	B	C	protein	11/09/15	1.821	X-RAY DIFFRACTION	0.224	0.181	False	None	None	None	None	Fab	278	456	431	456:278:431
5f1o_B!_A	1391	B	missing	A	protein	11/30/15	2.2	X-RAY DIFFRACTION	0.237	0.168	False	None	None	None	None	Nanobody	missing	1015	239	1015:missing:239
5f21_B!_A	1392	B	missing	A	protein	12/01/15	1.9	X-RAY DIFFRACTION	0.211	0.163	False	None	None	None	None	Nanobody	missing	1326	239	1326:missing:239
5f96_HL_G	1409	H	L	G	protein	12/09/15	2.2407	X-RAY DIFFRACTION	0.233	0.190	False	None	None	None	None	Fab	525	386	112	386:525:112
5f9o_HL_G	1410	H	L	G	protein	12/10/15	1.86	X-RAY DIFFRACTION	0.221	0.204	False	None	None	None	None	Fab	208	387	112	387:208:112
5fb8_BA_C	1413	B	A	C	protein	12/14/15	2.07	X-RAY DIFFRACTION	0.205	0.172	False	None	None	None	None	Fab	97	225	608	225:97:608
5fhx_H!_A	1418	H	missing	A	protein	12/22/15	2.55	X-RAY DIFFRACTION	0.249	0.184	False	None	None	None	None	Nanobody	missing	1	475	1:missing:475
5foj_A!_B	1419	A	missing	B	protein	11/22/15	2.8	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Nanobody	missing	993	44	993:missing:44
5g5r_B!_A	1425	B	missing	A	protein	06/02/16	2.4	X-RAY DIFFRACTION	0.250	0.207	False	None	None	None	None	Nanobody	missing	1211	476	1211:missing:476
5ggt_HL_A	1428	H	L	A	protein	06/16/16	2.8	X-RAY DIFFRACTION	0.269	0.211	False	None	None	None	None	Fab	159	624	498	624:159:498
5ggv_HL_Y	1429	H	L	Y	protein	06/16/16	1.998	X-RAY DIFFRACTION	0.214	0.181	False	None	None	None	None	Fab	147	155	485	155:147:485
5gmq_BC_A	1430	B	C	A	protein	07/15/16	2.703	X-RAY DIFFRACTION	0.285	0.239	False	None	None	None	None	Fab	217	156	309	156:217:309
5gru_HH_A	1432	H	H	A	protein	08/12/16	1.955	X-RAY DIFFRACTION	0.237	0.197	True	None	None	None	None	scFv	2	5	102	5:2:102
5gru_LL_A	1433	L	L	A	protein	08/12/16	1.955	X-RAY DIFFRACTION	0.237	0.197	True	None	None	None	None	scFv	29	89	102	89:29:102
5hbt_DC_B	1443	D	C	B	protein	01/02/16	2.61	X-RAY DIFFRACTION	0.260	0.207	False	None	None	None	None	Fab	462	457	307	457:462:307
5hdq_HL_A	1444	H	L	A	protein	01/05/16	1.83	X-RAY DIFFRACTION	0.236	0.207	False	None	None	None	None	Fab	45	777	206	777:45:206
5hvh_B!_A	1449	B	missing	A	protein	01/28/16	3.0	X-RAY DIFFRACTION	0.202	0.190	False	None	None	None	None	Nanobody	missing	1212	81	1212:missing:81
5hvh_C!_A	1450	C	missing	A	protein	01/28/16	3.0	X-RAY DIFFRACTION	0.202	0.190	False	None	None	None	None	Nanobody	missing	1260	81	1260:missing:81
5ies_HL_C	1460	H	L	C	protein	02/25/16	2.16	X-RAY DIFFRACTION	0.214	0.189	False	None	None	None	None	Fab	65	458	381	458:65:381
5imm_B!_A	1464	B	missing	A	protein	03/06/16	1.2	X-RAY DIFFRACTION	0.176	0.156	False	None	None	None	None	Nanobody	missing	1084	482	1084:missing:482
5j13_CB_A	1469	C	B	A	protein	03/28/16	2.298	X-RAY DIFFRACTION	0.215	0.189	False	None	None	None	None	Fab	373	902	522	902:373:522
5jds_B!_A	1476	B	missing	A	protein	04/17/16	1.7	X-RAY DIFFRACTION	0.204	0.178	False	None	None	None	None	Nanobody	missing	1037	498	1037:missing:498
5jhl_HL_A	1477	H	L	A	protein	04/21/16	3.0	X-RAY DIFFRACTION	0.269	0.228	False	None	None	None	None	Fab	278	625	80	625:278:80
5jq6_HL_A	1480	H	L	A	protein	05/04/16	2.4	X-RAY DIFFRACTION	0.259	0.208	False	None	None	None	None	Fab	463	939	149	939:463:149
5jxe_DC_B	1483	D	C	B	protein	05/13/16	2.9	X-RAY DIFFRACTION	0.286	0.261	False	None	None	None	None	Fab	204	957	551	957:204:551
5jxe_GF_A	1484	G	F	A	protein	05/13/16	2.9	X-RAY DIFFRACTION	0.286	0.261	False	None	None	None	None	Fab	204	517	564	517:204:564
5kjr_HL_G	1519	H	L	G	protein	06/20/16	2.98	X-RAY DIFFRACTION	0.306	0.249	False	None	None	None	None	Fab	404	518	112	518:404:112
5kvd_HL_E	1531	H	L	E	protein	07/14/16	1.65	X-RAY DIFFRACTION	0.221	0.190	False	None	None	None	None	Fab	47	319	80	319:47:80
5kve_HL_E	1532	H	L	E	protein	07/14/16	1.7	X-RAY DIFFRACTION	0.213	0.187	False	None	None	None	None	Fab	652	1314	80	1314:652:80
5kvf_HL_E	1533	H	L	E	protein	07/14/16	1.4	X-RAY DIFFRACTION	0.187	0.154	False	None	None	None	None	Fab	45	390	80	390:45:80
5kvg_HL_E	1534	H	L	E	protein	07/14/16	1.4	X-RAY DIFFRACTION	0.179	0.148	False	None	None	None	None	Fab	278	519	80	519:278:80
5kw9_HL_A	1535	H	L	A	protein	07/15/16	2.3	X-RAY DIFFRACTION	0.212	0.186	False	None	None	None	None	Fab	60	688	185	688:60:185
5l21_B!_A	1538	B	missing	A	protein	07/29/16	1.68	X-RAY DIFFRACTION	0.205	0.193	False	None	None	None	None	Nanobody	missing	1235	1	1235:missing:1
5l6y_HL_C	1539	H	L	C	protein	06/01/16	1.99	X-RAY DIFFRACTION	0.211	0.189	False	None	None	None	None	Fab	465	29	576	29:465:576
